step,loss,loss_comm,loss_sens,BER,RMSE_tau_samples,RMSE_v,RMSE_a,g_theta,accept_rate,resid_improve
0,0.9303345083573599,0.9303345083573599,0.0,0.09173870086669922,0.0,0.0,0.0,0.7179952263832092,1.0,0.0
1,0.8310943652001,0.8310943652001,2.578893827376305e-07,0.11489295959472656,0.0004911362657712692,0.05023927241563797,0.00529202027246356,0.7412216067314148,1.0,0.0
2,0.7377354522279225,0.7377354522279225,9.86653958534589e-07,0.10880756378173828,0.0009816225523401334,0.10088571906089783,0.009892350062727928,0.7324324250221252,1.0,0.0
3,0.6513907596711732,0.6513907596711732,2.396465333731612e-06,0.10298490524291992,0.001561206540564783,0.15473756194114685,0.015354670584201813,0.727028489112854,1.0,0.0
4,0.5719759335320387,0.5719759335320387,4.04787169827614e-06,0.10571956634521484,0.001952667086184412,0.20214658975601196,0.020601894706487656,0.7098610401153564,1.0,0.0
5,0.4987436576794478,0.4987436576794478,6.229250629985472e-06,0.09160423278808594,0.0024679046241489477,0.2503044605255127,0.025163400918245316,0.7091635465621948,1.0,0.0
6,0.43320943824381947,0.43320943824381947,9.154703548119869e-06,0.12824106216430664,0.003064092491018855,0.296930730342865,0.030428050085902214,0.7046671509742737,1.0,0.0
7,0.37221958553025347,0.37221958553025347,1.2605613846972119e-05,0.09939813613891602,0.003606483601342747,0.3577921986579895,0.03465341031551361,0.7360700368881226,1.0,0.0
8,0.3175714702686592,0.3175714702686592,1.6137626516865566e-05,0.09677457809448242,0.0038958717979084567,0.40589025616645813,0.04093942791223526,0.724909245967865,1.0,0.0
9,0.268668929847881,0.268668929847881,2.0557918105623685e-05,0.10106754302978516,0.004576967060562764,0.4541952311992645,0.04482832923531532,0.727895975112915,1.0,0.0
10,0.22508417473372633,0.22508417473372633,2.5436991563765332e-05,0.11540699005126953,0.005128455169214896,0.4992709159851074,0.05008271336555481,0.7023093700408936,1.0,0.0
11,0.18645965909303414,0.18645965909303414,3.0136183340800926e-05,0.10182905197143555,0.005463063269990631,0.5427064895629883,0.055776745080947876,0.7391327023506165,1.0,0.0
12,0.15265004500284463,0.15265004500284463,3.557865784387104e-05,0.1069183349609375,0.006052763000009842,0.6005674004554749,0.05833687633275986,0.7350332140922546,1.0,0.0
13,0.12313049353290817,0.12313049353290817,4.280542998458259e-05,0.09429168701171875,0.006477693273269913,0.6400046348571777,0.06745011359453201,0.7117871642112732,1.0,0.0
14,0.09817790349310937,0.09817790349310937,5.0018730689771473e-05,0.09670305252075195,0.006965563108946027,0.717322051525116,0.07076865434646606,0.7110247015953064,1.0,0.0
15,0.07720137508389545,0.07720137508389545,5.4463842388940975e-05,0.09583425521850586,0.007219057166288345,0.7643814086914062,0.07269719988107681,0.7107430100440979,1.0,0.0
16,0.059954052445403465,0.059954052445403465,6.499553273897618e-05,0.09087228775024414,0.008156829703863389,0.8150858283042908,0.07875038683414459,0.7154768109321594,1.0,0.0
17,0.046205800124644765,0.046205800124644765,7.152400212362409e-05,0.12117385864257812,0.008422313953031224,0.8687159419059753,0.0825650617480278,0.7244824171066284,1.0,0.0
18,0.03489549389358515,0.03489549389358515,7.887256651883945e-05,0.10273408889770508,0.00884564340178362,0.9003021717071533,0.0879305824637413,0.7204341292381287,1.0,0.0
19,0.02619748406303888,0.02619748406303888,9.051657980307937e-05,0.12723779678344727,0.009481179947049001,0.940130352973938,0.09657768905162811,0.7155835032463074,1.0,0.0
20,0.01917423463606873,0.01917423463606873,9.671056614024565e-05,0.09802961349487305,0.009756298416721543,0.9668917655944824,0.10072654485702515,0.7260453701019287,1.0,0.0
21,0.0139088692202671,0.0139088692202671,0.00011244812048971653,0.0987696647644043,0.010645246619964133,1.0428423881530762,0.10736435651779175,0.7077078819274902,1.0,0.0
22,0.009972413872293162,0.009972413872293162,0.00012166639498900622,0.10683917999267578,0.010916654949802429,1.1206257343292236,0.10965655744075775,0.7156869769096375,1.0,0.0
23,0.0069239458114635916,0.0069239458114635916,0.00013591698370873928,0.0964345932006836,0.011599597150857566,1.1838397979736328,0.11534842848777771,0.7182775735855103,1.0,0.0
24,0.0046933767491907676,0.0046933767491907676,0.0001444523222744465,0.09360742568969727,0.011880150726020777,1.2330334186553955,0.11839840561151505,0.7206907272338867,1.0,0.0
25,0.003109321447069314,0.003109321447069314,0.000158181122969836,0.1072545051574707,0.01260413865292187,1.2768687009811401,0.12354742735624313,0.7349189519882202,1.0,0.0
26,0.001933701284027137,0.001933701284027137,0.00017141297576017678,0.09301996231079102,0.013166863432889642,1.296007513999939,0.1314948946237564,0.7101863622665405,1.0,0.0
27,0.001164505515356765,0.001164505515356765,0.00019385918858461082,0.09438419342041016,0.013854668280688376,1.4110407829284668,0.13802975416183472,0.7226560115814209,1.0,0.0
