snr_db,gamma_eff,chi,BER_Net,BER_Net_std,BER_LMMSE,BER_GAMP,NMSE_Net,RMSE_R,RMSE_R_std,RMSE_v,RMSE_a,BCRLB_R_ref,BCRLB_R_analog
-5,184.1704432511207,0.5711610196215442,,0.0,0.31264190673828124,0.31264190673828124,,,0.0,,,2.697588544331008e-08,8.800205809954355e-09
-3,114.7816876015346,0.539074900787929,,0.0,0.27375030517578125,0.27375030517578125,,,0.0,,,1.910709248771121e-08,5.552554488727969e-09
-1,154.09823974351704,0.4946813956257089,,0.0,0.22927322387695312,0.22927322387695312,,,0.0,,,1.4316658784352885e-08,3.503425035289376e-09
1,169.3895492752666,0.4380588792178016,,0.0,0.18776626586914064,0.18776626586914064,,,0.0,,,1.1519346812008729e-08,2.2105117568516117e-09
3,151.13751003740552,0.3722478990167697,,0.0,0.14629592895507812,0.14629592895507812,,,0.0,,,1.00653369628087e-08,1.3947386280453397e-09
5,225.23590170118592,0.3000972683193966,,0.0,0.11018905639648438,0.11018905639648438,,,0.0,,,9.771668936170802e-09,8.800205809954355e-10
7,127.14364619198571,0.23253139895257804,,0.0,0.09366836547851562,0.09366836547851562,,,0.0,,,1.0269034673601876e-08,5.552554488727968e-10
9,219.38170919783815,0.17054586946378886,,0.0,0.07166366577148438,0.07166366577148438,,,0.0,,,1.2045100228085128e-08,3.503425035289376e-10
11,159.67365383897808,0.1252705188674818,,0.0,0.06082916259765625,0.06082916259765625,,,0.0,,,1.408623977216812e-08,2.2105117568516116e-10
13,251.06956597992206,0.08681852665598233,,0.0,0.0569610595703125,0.0569610595703125,,,0.0,,,1.8504101681516423e-08,1.3947386280453396e-10
15,116.15898912250364,0.06931056457397142,,0.0,0.06044158935546875,0.06044158935546875,,,0.0,,,1.83186707192026e-08,8.800205809954355e-11
17,169.11630456717631,0.04728043390941227,,0.0,0.060796356201171874,0.060796356201171874,,,0.0,,,2.483876061487782e-08,5.5525544887279686e-11
19,162.73317377343702,0.036282698235104924,,0.0,0.058233642578125,0.058233642578125,,,0.0,,,2.6612990293448905e-08,3.503425035289376e-11
21,160.53129440506143,0.027874883000181566,,0.0,0.04712753295898438,0.04712753295898438,,,0.0,,,2.844898149047225e-08,2.2105117568516114e-11
23,143.0761403501515,0.028720144670342278,,0.0,0.05308074951171875,0.05308074951171875,,,0.0,,,1.6909064573211855e-08,1.3947386280453403e-11
25,134.29709875571746,0.02712408439135444,,0.0,0.055651092529296876,0.055651092529296876,,,0.0,,,1.1961417665716702e-08,8.800205809954353e-12
