scene_id,snr_db,gamma_eff,chi,BER_Net,BER_Net_std,BER_LMMSE,BER_GAMP,NMSE_Net,RMSE_R,RMSE_R_std,RMSE_v,RMSE_a,BCRLB_R_ref,BCRLB_R_analog
S1_full_hw,-5,184.1704432511207,0.5711610196215442,,0.0,0.31264190673828124,0.31264190673828124,,,0.0,,,2.697588544331008e-08,8.800205809954355e-09
S1_full_hw,-3,114.7816876015346,0.539074900787929,,0.0,0.27375030517578125,0.27375030517578125,,,0.0,,,1.910709248771121e-08,5.552554488727969e-09
S1_full_hw,-1,154.09823974351704,0.4946813956257089,,0.0,0.22927322387695312,0.22927322387695312,,,0.0,,,1.4316658784352885e-08,3.503425035289376e-09
S1_full_hw,1,169.3895492752666,0.4380588792178016,,0.0,0.18776626586914064,0.18776626586914064,,,0.0,,,1.1519346812008729e-08,2.2105117568516117e-09
S1_full_hw,3,151.13751003740552,0.3722478990167697,,0.0,0.14629592895507812,0.14629592895507812,,,0.0,,,1.00653369628087e-08,1.3947386280453397e-09
S1_full_hw,5,225.23590170118592,0.3000972683193966,,0.0,0.11018905639648438,0.11018905639648438,,,0.0,,,9.771668936170802e-09,8.800205809954355e-10
S1_full_hw,7,127.14364619198571,0.23253139895257804,,0.0,0.09366836547851562,0.09366836547851562,,,0.0,,,1.0269034673601876e-08,5.552554488727968e-10
S1_full_hw,9,219.38170919783815,0.17054586946378886,,0.0,0.07166366577148438,0.07166366577148438,,,0.0,,,1.2045100228085128e-08,3.503425035289376e-10
S1_full_hw,11,159.67365383897808,0.1252705188674818,,0.0,0.06082916259765625,0.06082916259765625,,,0.0,,,1.408623977216812e-08,2.2105117568516116e-10
S1_full_hw,13,251.06956597992206,0.08681852665598233,,0.0,0.0569610595703125,0.0569610595703125,,,0.0,,,1.8504101681516423e-08,1.3947386280453396e-10
S1_full_hw,15,116.15898912250364,0.06931056457397142,,0.0,0.06044158935546875,0.06044158935546875,,,0.0,,,1.83186707192026e-08,8.800205809954355e-11
S1_full_hw,17,169.11630456717631,0.04728043390941227,,0.0,0.060796356201171874,0.060796356201171874,,,0.0,,,2.483876061487782e-08,5.5525544887279686e-11
S1_full_hw,19,162.73317377343702,0.036282698235104924,,0.0,0.058233642578125,0.058233642578125,,,0.0,,,2.6612990293448905e-08,3.503425035289376e-11
S1_full_hw,21,160.53129440506143,0.027874883000181566,,0.0,0.04712753295898438,0.04712753295898438,,,0.0,,,2.844898149047225e-08,2.2105117568516114e-11
S1_full_hw,23,143.0761403501515,0.028720144670342278,,0.0,0.05308074951171875,0.05308074951171875,,,0.0,,,1.6909064573211855e-08,1.3947386280453403e-11
S1_full_hw,25,134.29709875571746,0.02712408439135444,,0.0,0.055651092529296876,0.055651092529296876,,,0.0,,,1.1961417665716702e-08,8.800205809954353e-12
S2_pa_only,-5,1000000000.0,0.5710050573003417,,0.0,0.2871246337890625,0.28714447021484374,,,0.0,,,2.6990623653521483e-08,8.800205809954355e-09
S2_pa_only,-3,1000000000.0,0.5385400364509147,,0.0,0.23949203491210938,0.23949127197265624,,,0.0,,,1.9145064696418228e-08,5.552554488727969e-09
S2_pa_only,-1,1000000000.0,0.49402331456484533,,0.0,0.18707427978515626,0.18706283569335938,,,0.0,,,1.435482620219361e-08,3.503425035289376e-09
S2_pa_only,1,1000000000.0,0.43679827574701646,,0.0,0.13086395263671874,0.130859375,,,0.0,,,1.1585932619314299e-08,2.2105117568516117e-09
S2_pa_only,3,1000000000.0,0.3690466240633442,,0.0,0.0789337158203125,0.0789276123046875,,,0.0,,,1.0240716779981713e-08,1.3947386280453397e-09
S2_pa_only,5,1000000000.0,0.29622495709231156,,0.0,0.03795166015625,0.03795318603515625,,,0.0,,,1.0028813119957807e-08,8.800205809954355e-10
S2_pa_only,7,1000000000.0,0.2256544447621925,,0.0,0.012659454345703125,0.012660980224609375,,,0.0,,,1.0904482112870359e-08,5.552554488727968e-10
S2_pa_only,9,1000000000.0,0.1638057265599695,,0.0,0.002384185791015625,0.002381134033203125,,,0.0,,,1.3056737361991765e-08,3.503425035289376e-10
S2_pa_only,11,1000000000.0,0.11419832002191735,,0.0,0.000196075439453125,0.000197601318359375,,,0.0,,,1.695014427067682e-08,2.2105117568516116e-10
S2_pa_only,13,1000000000.0,0.07716239845639927,,0.0,7.62939453125e-07,7.62939453125e-07,,,0.0,,,2.3425096690621002e-08,1.3947386280453396e-10
